return_level,return_periods,year,y,lon,lat,type
30.7879383606074,50,1985,21.8,11.3759,59.1231,bgev_year
35.1482920425646,100,1985,21.8,11.3759,59.1231,bgev_year
39.7617435861966,200,1985,21.8,11.3759,59.1231,bgev_year
11.8517346985275,2,1985,21.8,11.3759,59.1231,bgev_base
17.2873116738687,5,1985,21.8,11.3759,59.1231,bgev_base
21.2154388950602,10,1985,21.8,11.3759,59.1231,bgev_base
26.5882585501756,25,1985,21.8,11.3759,59.1231,bgev_base
30.8924811758647,50,1985,21.8,11.3759,59.1231,bgev_base
35.453379233164,100,1985,21.8,11.3759,59.1231,bgev_base
40.3027005350958,200,1985,21.8,11.3759,59.1231,bgev_base
10.0509316873571,2,1985,21.8,11.3759,59.1231,gev
13.7052771657639,5,1985,21.8,11.3759,59.1231,gev
16.493702693654,10,1985,21.8,11.3759,59.1231,gev
20.5016077450941,25,1985,21.8,11.3759,59.1231,gev
23.8695689620694,50,1985,21.8,11.3759,59.1231,gev
27.5868453908441,100,1985,21.8,11.3759,59.1231,gev
31.7027070186982,200,1985,21.8,11.3759,59.1231,gev
11.2824214590727,2,1986,13,11.3759,59.1231,bgev_year
16.6375568608647,5,1986,13,11.3759,59.1231,bgev_year
20.4945664892523,10,1986,13,11.3759,59.1231,bgev_year
25.7540081441767,25,1986,13,11.3759,59.1231,bgev_year
29.9549797019977,50,1986,13,11.3759,59.1231,bgev_year
34.3952878314912,100,1986,13,11.3759,59.1231,bgev_year
39.1045993592842,200,1986,13,11.3759,59.1231,bgev_year
12.84859096568,2,1986,13,11.3759,59.1231,bgev_base
18.2643057444759,5,1986,13,11.3759,59.1231,bgev_base
22.1766089662597,10,1986,13,11.3759,59.1231,bgev_base
27.5259559395876,25,1986,13,11.3759,59.1231,bgev_base
31.8099599720145,50,1986,13,11.3759,59.1231,bgev_base
36.3481574809272,100,1986,13,11.3759,59.1231,bgev_base
41.1719935496133,200,1986,13,11.3759,59.1231,bgev_base
10.0754566148453,2,1986,13,11.3759,59.1231,gev
14.3944101727276,5,1986,13,11.3759,59.1231,gev
18.1120137608024,10,1986,13,11.3759,59.1231,gev
24.0825034669424,25,1986,13,11.3759,59.1231,gev
29.6617168126217,50,1986,13,11.3759,59.1231,gev
36.4055313101088,100,1986,13,11.3759,59.1231,gev
44.5789191255234,200,1986,13,11.3759,59.1231,gev
11.8404776272227,2,1987,8.8,11.3759,59.1231,bgev_year
17.1621475511697,5,1987,8.8,11.3759,59.1231,bgev_year
20.9735695341334,10,1987,8.8,11.3759,59.1231,bgev_year
26.144352346476,25,1987,8.8,11.3759,59.1231,bgev_year
30.2541641592287,50,1987,8.8,11.3759,59.1231,bgev_year
34.579890874353,100,1987,8.8,11.3759,59.1231,bgev_year
39.1485334586408,200,1987,8.8,11.3759,59.1231,bgev_year
13.0319521024376,2,1987,8.8,11.3759,59.1231,bgev_base
18.5520257186061,5,1987,8.8,11.3759,59.1231,bgev_base
22.5318801375911,10,1987,8.8,11.3759,59.1231,bgev_base
27.9638603772286,25,1987,8.8,11.3759,59.1231,bgev_base
32.3065284388283,50,1987,8.8,11.3759,59.1231,bgev_base
36.9001030138161,100,1987,8.8,11.3759,59.1231,bgev_base
41.7756577796014,200,1987,8.8,11.3759,59.1231,bgev_base
10.5752680001259,2,1987,8.8,11.3759,59.1231,gev
14.8968444486673,5,1987,8.8,11.3759,59.1231,gev
18.2609040308179,10,1987,8.8,11.3759,59.1231,gev
23.1854380890963,25,1987,8.8,11.3759,59.1231,gev
27.3970293369876,50,1987,8.8,11.3759,59.1231,gev
32.1157318951787,100,1987,8.8,11.3759,59.1231,gev
37.4189755605453,200,1987,8.8,11.3759,59.1231,gev
11.6504022330131,2,1989,16.5,11.3759,59.1231,bgev_year
16.9308468859333,5,1989,16.5,11.3759,59.1231,bgev_year
20.6913128813623,10,1989,16.5,11.3759,59.1231,bgev_year
25.7666891994272,25,1989,16.5,11.3759,59.1231,bgev_year
29.78058617897,50,1989,16.5,11.3759,59.1231,bgev_year
33.9874438861422,100,1989,16.5,11.3759,59.1231,bgev_year
38.4118044639124,200,1989,16.5,11.3759,59.1231,bgev_year
12.8190689188523,2,1989,16.5,11.3759,59.1231,bgev_base
18.1941670042612,5,1989,16.5,11.3759,59.1231,bgev_base
22.0658575040266,10,1989,16.5,11.3759,59.1231,bgev_base
27.3456937157834,25,1989,16.5,11.3759,59.1231,bgev_base
31.5632452230802,50,1989,16.5,11.3759,59.1231,bgev_base
36.0213388165036,100,1989,16.5,11.3759,59.1231,bgev_base
40.7497885219892,200,1989,16.5,11.3759,59.1231,bgev_base
9.98493438114711,2,1989,16.5,11.3759,59.1231,gev
14.0419743406839,5,1989,16.5,11.3759,59.1231,gev
17.446771124106,10,1989,16.5,11.3759,59.1231,gev
22.7881911475873,25,1989,16.5,11.3759,59.1231,gev
27.6692436985266,50,1989,16.5,11.3759,59.1231,gev
33.4571311509191,100,1989,16.5,11.3759,59.1231,gev
40.3394616867508,200,1989,16.5,11.3759,59.1231,gev
11.7692998611652,2,1991,8.8,11.3759,59.1231,bgev_year
17.0279010761432,5,1991,8.8,11.3759,59.1231,bgev_year
20.727407872143,10,1991,8.8,11.3759,59.1231,bgev_year
25.6655183190192,25,1991,8.8,11.3759,59.1231,bgev_year
29.5292482067559,50,1991,8.8,11.3759,59.1231,bgev_year
33.5419710682023,100,1991,8.8,11.3759,59.1231,bgev_year
37.7240710338959,200,1991,8.8,11.3759,59.1231,bgev_year
12.3947484355282,2,1991,8.8,11.3759,59.1231,bgev_base
17.800511456595,5,1991,8.8,11.3759,59.1231,bgev_base
21.652536407792,10,1991,8.8,11.3759,59.1231,bgev_base
26.8543252119616,25,1991,8.8,11.3759,59.1231,bgev_base
30.9703676773644,50,1991,8.8,11.3759,59.1231,bgev_base
35.2862195536747,100,1991,8.8,11.3759,59.1231,bgev_base
39.8272376707766,200,1991,8.8,11.3759,59.1231,bgev_base
10.5752680001257,2,1991,8.8,11.3759,59.1231,gev
14.8968444486673,5,1991,8.8,11.3759,59.1231,gev
18.2609040308203,10,1991,8.8,11.3759,59.1231,gev
23.1854380891049,25,1991,8.8,11.3759,59.1231,gev
27.397029337004,50,1991,8.8,11.3759,59.1231,gev
32.1157318952061,100,1991,8.8,11.3759,59.1231,gev
37.4189755605875,200,1991,8.8,11.3759,59.1231,gev
11.9221634566057,2,1992,10.8,11.3759,59.1231,bgev_year
17.2245547004276,5,1992,10.8,11.3759,59.1231,bgev_year
21.029834375346,10,1992,10.8,11.3759,59.1231,bgev_year
26.2017561173629,25,1992,10.8,11.3759,59.1231,bgev_year
30.3197606933607,50,1992,10.8,11.3759,59.1231,bgev_year
34.6606529159407,100,1992,10.8,11.3759,59.1231,bgev_year
39.2521947966164,200,1992,10.8,11.3759,59.1231,bgev_year
12.8886393711515,2,1992,10.8,11.3759,59.1231,bgev_base
