wetterdays_JJA,precip_JJA,y,lon,lat,temp_JJA,masl,year,mu,sigma,xi,clim_mean,clim_sd,loc_gev,scale_gev,shape_gev,year_specific,spatial
17,246.288050907603,12,11.3759,59.1231,15.5419494217168,10,1980,-0.202341560342569,0.63725894570432,0.0911254059637895,13.1477441462022,6.99836669064912,8.99361347712216,2.97155492089873,0.275536351476828,TRUE,FALSE
21,292.822274184649,24.3,11.4417,59.7138,14.6963353881433,139,1980,-0.211614275242628,0.622948420670757,0.0921870594975787,13.1477441462022,6.99836669064912,10.8276076578344,2.68529211730701,0.590014446945516,TRUE,FALSE
16,237.070914143997,11.8,10.96321,59.2307,16.1524997170253,30,1980,-0.175195346522497,0.632525181514844,0.0916445530392902,13.1477441462022,6.99836669064912,9.85466642526361,4.43066645295519,0.0433046288921619,TRUE,FALSE
20,283.797386431538,11.6,11.16601,59.5872,15.2038478425444,141,1980,-0.181473531422342,0.624706126640852,0.0921601819956473,13.1477441462022,6.99836669064912,8.49828683266371,4.17557787647075,0.0105924422380463,TRUE,FALSE
18,282.573735094622,15.7,11.047001,59.976504,14.914250591138,114,1980,-0.235064850515546,0.614474483205055,0.0929844246733292,13.1477441462022,6.99836669064912,10.7440166416628,3.52498112111158,0.153419326148263,TRUE,FALSE
21,269.881114653542,21.8,11.0743,60.1883,14.4905720890699,202,1980,-0.272248262842951,0.609371788535767,0.0933622384105718,13.1477441462022,6.99836669064912,9.84148879979764,1.94901865788476,0.001,TRUE,FALSE
17,281.526833754555,8.4,10.66319,60.8,13.6603959057605,240,1980,-0.357618766016047,0.59221193943482,0.0948292565677948,13.1477441462022,6.99836669064912,11.1016640729866,3.33615063224768,0.001,TRUE,FALSE
20,287.990830835165,9.6,11.095,60.8002,14.1886491886128,141,1980,-0.318926910597626,0.594354787351555,0.094498401006956,13.1477441462022,6.99836669064912,9.11168709659593,3.14456108589742,0.149357710399662,TRUE,FALSE
24,366.006438956084,15.4,10.4742,61.1208,12.0379984538631,260,1980,-0.387706757704365,0.583358286922447,0.0955782057734449,13.1477441462022,6.99836669064912,8.44252693196899,3.38463674300642,0.0120904699469455,TRUE,FALSE
14,240.391628136286,14.8,7.86,61.9067,7.69419643372259,712,1980,-0.871441910571186,0.551071904332959,0.0990631377699593,13.1477441462022,6.99836669064912,8.37258073643856,1.93207649941973,0.000999999999999926,TRUE,FALSE
17,237.882551848314,20.1,10.6887,59.4493,15.9642956832123,40,1980,-0.200538001144247,0.62573593301066,0.0922666880088205,13.1477441462022,6.99836669064912,4.5304882796342,1.30148757633359,0.00099999999999989,TRUE,FALSE
16,240.625879590828,11.9,10.81071,59.6703,15.5464155325873,120,1980,-0.225054618159013,0.620873092179053,0.0925891796138962,13.1477441462022,6.99836669064912,10.3901498717037,6.14175196568569,0.000999999999999446,TRUE,FALSE
20,281.014109747894,19.6,10.9185,59.9683,14.9460866632133,200,1980,-0.216413502525914,0.614036233790323,0.0930675491110251,13.1477441462022,6.99836669064912,10.3674337284128,5.02357988644884,0.117219831674321,TRUE,FALSE
18,263.72101753852,11.4,10.7285,59.91,15.1156618085309,10,1980,-0.262994690513327,0.614530499394779,0.0931035309707132,13.1477441462022,6.99836669064912,9.48831585215054,3.46690638823643,0.001,TRUE,FALSE
23,272.021368371625,44.7,10.7202,59.9423,14.939918646681,94,1980,-0.245426956050143,0.613690018470496,0.0931707098278544,13.1477441462022,6.99836669064912,12.1209403984093,4.57884132395671,0.001,TRUE,FALSE
17,245.836435405093,11.6,10.51219,59.9058,14.9814911330509,67,1980,-0.287453319804013,0.61355513134282,0.0932615502340382,13.1477441462022,6.99836669064912,15.1263965786335,3.9171482454704,0.0321254037059761,TRUE,FALSE
22,264.964308588425,16,10.62269,59.94046,14.8689267023493,123,1980,-0.256158275348261,0.613249050015493,0.0932420434195991,13.1477441462022,6.99836669064912,13.0921585262591,4.06286722431053,0.255568867636476,TRUE,FALSE
16,237.78417993527,10.2,10.2478,60.15,14.1931219869656,140,1980,-0.360916727630876,0.606198781897109,0.0939241202013139,13.1477441462022,6.99836669064912,14.1462640629185,4.68819634490128,0.246632942389641,TRUE,FALSE
19,260.367949280215,7.8,9.122,60.5685,10.8614844318273,167,1980,-0.617025284846248,0.590262780533047,0.0955756185873588,13.1477441462022,6.99836669064912,13.5567687203436,4.16494041188081,0.001,TRUE,FALSE
11,186.370407041324,18.7,10.202,59.7372,14.7589829117003,3,1980,-0.390813622389011,0.61617827364695,0.0931820623694447,13.1477441462022,6.99836669064912,11.9466119673514,3.69471207434733,0.0571031640660376,TRUE,FALSE
